id,tshirt
568,
363,YL
360,YS
326,YM
290,YL
581,YM
586,YM
383,YM
406,AS
390,
412,
427,
428,AS
386,YL
445,
435,YL
447,YL
411,AS
444,
585,YS
301,YM
327,YL
560,YM
621,YS
587,YM
578,YS
420,
402,AS
409,AS
478,
430,
515,
520,YL
501,
480,
502,YL
531,
454,
453,YS
614,YS
550,
546,YM
333,YL
281,YL
566,YM
588,YS
583,
372,YM
217,YM
238,YM
263,
325,YS
359,YL
332,AS
300,YM
377,AS
337,YM
373,YM
575,YS
572,
490,YL
351,YM
349,
374,AS
429,
569,YM
567,
329,YL
375,YM
652,YM
591,YS
620,YS
619,YS
565,YS
214,YL
264,YS
212,YL
122,
168,
110,
136,
162,YL
226,YM
183,
194,
138,
236,
271,YS
172,YS
269,
177,
193,
245,
387,YL

